symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,fees,bars_held,exit_reason
MLM,2015-10-23,2015-11-03,141.3895471395161,129.97432066166013,1.7681,-20.183261935497143,-0.08073599999999999,0.0,7,損切り
MSI,2015-11-06,2015-11-16,57.16073338018097,58.24402323691421,4.3294,4.689995105740877,0.018951643771401305,0.0,6,シグナル
WEC,2015-11-11,2015-11-24,35.05429676968198,35.06167756532398,7.0916,0.05234165037481375,0.00021055323661162362,0.0,9,シグナル
ULTA,2015-11-17,2015-12-01,160.71846833496093,167.68575131835937,1.5433,10.752607828278798,0.0433508547933495,0.0,9,シグナル
NKE,2015-11-17,2015-12-04,52.67343329123765,55.47403623979785,4.7091,13.188319345064798,0.05316917416556703,0.0,12,シグナル
ACGL,2015-11-30,2015-12-08,23.11897435904493,23.009171955233946,10.7549,-1.1809138727467712,-0.00474944961250097,0.0,6,シグナル
WRB,2015-11-17,2015-12-10,12.56992000924863,12.747217401735705,19.7334,3.498680364904459,0.014104894252041757,0.0,16,シグナル
ED,2015-11-12,2015-12-11,42.409546301023894,41.44401483155115,5.8523,-5.650579818795336,-0.022766842696674467,0.0,20,期間満了
PGR,2015-11-17,2015-12-16,22.785210881608766,22.95471473186714,10.8863,1.8452697650677408,0.007439204804340456,0.0,20,期間満了
BKNG,2015-11-19,2015-12-18,50.32133985176103,50.99401882968006,4.988,3.355322741860107,0.013367668267590576,0.0,20,期間満了
BR,2015-11-19,2015-12-18,45.41023357231475,44.399420321644484,5.3852,-5.443431517509538,-0.02225959153151179,0.0,20,期間満了
DAL,2015-12-02,2015-12-31,43.16847009993318,44.70351985396836,5.8424,8.96837468297511,0.03555951254426206,0.0,20,期間満了
ORLY,2015-12-07,2016-01-04,17.27447633514404,16.550082844543457,14.7336,-10.67292393311277,-0.04193432417553769,0.0,18,シグナル
PSX,2015-12-17,2016-01-07,55.846703778612095,51.337864302342076,4.5036,-20.30600946532968,-0.08073599999999996,0.0,13,損切り
FSLR,2016-04-14,2016-04-29,61.62926583251953,56.65356542626523,4.0218,-20.011271893873527,-0.08073599999999999,0.0,11,損切り
WM,2016-04-25,2016-05-03,46.44826513822385,49.29508484178561,5.3229,15.153336600088863,0.0612901191269469,0.0,6,シグナル
CLX,2016-04-25,2016-05-11,89.81275451690402,97.62851107848203,2.7528,21.51521466271194,0.08702279095678969,0.0,12,シグナル
PGR,2016-05-02,2016-05-17,24.74057343047716,24.996251737464913,9.3865,2.3999244285405723,0.010334372713964413,0.0,11,シグナル
KO,2016-04-25,2016-05-18,32.34529947106163,32.33713348232203,7.6438,-0.06241918472775865,-0.0002524629195938164,0.0,17,シグナル
HRL,2016-05-03,2016-05-18,29.382357659608587,29.327782034754122,8.6429,-0.47169166805466034,-0.0018574283754461854,0.0,11,シグナル
O,2016-04-25,2016-05-19,35.23501283737801,34.98768101551431,7.0169,-1.7355026608353512,-0.007019490045461797,0.0,18,シグナル
XEL,2016-04-25,2016-05-19,28.444407313772405,29.128033257659016,8.692,5.942076704262405,0.024033755962832325,0.0,18,シグナル
WEC,2016-04-25,2016-05-19,40.28650384511836,41.323509267453844,6.137,6.364102276872842,0.02574076485570086,0.0,18,シグナル
AEP,2016-04-25,2016-05-19,43.45677101645483,44.1125696693874,5.6893,3.731035276129262,0.015090827909976364,0.0,18,シグナル
KLAC,2016-05-11,2016-05-31,5.867126895265406,6.164232151684346,44.2774,13.15504828056396,0.05063896890634744,0.0,13,シグナル
LRCX,2016-05-19,2016-05-31,6.414961375058105,7.184644111184416,39.0396,30.048106145276705,0.11998244278116775,0.0,7,シグナル
LULU,2016-05-20,2016-06-07,61.27898354187011,68.4951630493164,4.1206,29.734989278383182,0.11775945177869489,0.0,11,シグナル
VRSN,2016-05-23,2016-06-14,81.69371400418137,81.86734133688103,3.088,0.5361612033765084,0.002125345074784574,0.0,15,シグナル
MSI,2016-05-17,2016-06-15,60.514071876296484,57.90497168499164,4.165,-10.866902296784673,-0.04311559461142185,0.0,20,期間満了
MCD,2016-06-03,2016-06-15,94.56765600988905,96.02268756013069,2.7802,4.0452787159817944,0.015386143758173314,0.0,8,シグナル
ES,2016-05-20,2016-06-20,38.85585160512653,40.080160280101346,6.4986,7.956292355191323,0.03150899090867646,0.0,20,期間満了
WMT,2016-05-20,2016-06-20,19.43787447913214,19.9610363137977,12.9906,6.796186129406408,0.026914559780042206,0.0,20,期間満了
CPT,2016-06-08,2016-06-20,54.26308396710642,55.997616698080115,4.8652,8.438848642733262,0.031965244216955215,0.0,8,シグナル
KIM,2016-05-23,2016-06-21,16.448170568810735,17.663412579810966,14.8152,18.004053441370644,0.07388311094636824,0.0,20,期間満了
FAST,2016-06-15,2016-06-27,8.447607176244727,8.271610111782394,31.3072,-5.509975296535174,-0.020833954608738197,0.0,8,シグナル
GWW,2016-06-15,2016-06-27,188.96255755873062,183.92124970508826,1.3995,-7.055310341172458,-0.026678871829280127,0.0,8,シグナル
BLK,2016-06-20,2016-06-27,271.86882130771727,253.54861488742074,0.9791,-17.937314106112353,-0.06738619872692446,0.0,5,シグナル
PYPL,2016-06-15,2016-06-27,36.77956349091999,33.81012865291707,7.1907,-21.352315089627552,-0.08073599999999995,0.0,8,損切り
NRG,2016-06-20,2016-06-27,11.721469813800894,10.775125226913865,22.7114,-21.49281045062608,-0.08073600000000003,0.0,5,損切り
TSN,2016-06-06,2016-07-05,47.14505371390612,50.709330935424454,5.5962,19.946408187060854,0.0756023578453786,0.0,20,期間満了
MAS,2016-06-29,2016-07-06,25.82318789218968,26.025090120825322,10.0134,2.021727776220132,0.007818640730128735,0.0,4,シグナル
VRSN,2016-06-29,2016-07-06,82.00827095215443,82.0734276723914,3.153,0.20543913890713839,0.0007945140103609193,0.0,4,シグナル
MSCI,2016-06-21,2016-07-20,66.64759256219574,73.38954630820801,3.9839,26.85926952873831,0.10115824873525123,0.0,20,期間満了
PGR,2016-06-21,2016-07-20,24.247732598049836,24.897837227818364,10.9502,7.118775716891321,0.026810945194142084,0.0,20,期間満了
DRI,2016-07-08,2016-07-27,46.74408674597179,45.528352616407986,5.7453,-6.984757294582948,-0.026008297823223066,0.0,13,シグナル
GPN,2016-06-29,2016-07-28,66.31251681053423,73.3380076837548,3.8993,27.394496561948927,0.10594517009953855,0.0,20,期間満了
META,2016-06-29,2016-07-28,112.4730118549358,126.30878939272458,2.299,31.808452559376406,0.12301419966981712,0.0,20,期間満了
NDAQ,2016-06-29,2016-07-28,17.925146272379383,20.057429073163163,12.3331,26.297657010346455,0.11895483408519726,0.0,20,期間満了
FLEX,2016-07-07,2016-08-02,8.906893416595459,9.442327365875244,29.6341,15.867103196352048,0.06011455669629496,0.0,18,シグナル
TAP,2016-07-29,2016-08-04,75.75111679276489,76.17077267799198,3.6649,1.5379968537687319,0.005539930010208955,0.0,4,シグナル
DD,2016-07-11,2016-08-08,71.26944525548355,76.83242283286019,3.7892,21.079234636195565,0.07805557567390521,0.0,20,期間満了
OKE,2016-08-03,2016-08-11,24.020194217650907,24.788551835368448,11.6102,8.920785613224155,0.031987985224237715,0.0,6,シグナル
HAS,2016-07-20,2016-08-17,57.82974612758283,57.67557320463264,4.8015,-0.7402612895452876,-0.0026659795913688855,0.0,20,期間満了
DE,2016-07-27,2016-08-22,67.8863491231388,74.21738824027675,4.0863,25.870525144360784,0.09325938423428982,0.0,18,シグナル
NVR,2016-08-04,2016-08-25,1678.441655566406,1685.0208991210936,0.1663,1.0941282031445212,0.003919852401701274,0.0,15,シグナル
PM,2016-07-29,2016-08-26,60.671153659006,60.98288771649854,4.5758,1.426432700274347,0.005138093454503853,0.0,20,期間満了
TRGP,2016-08-01,2016-08-29,24.197633134636053,28.531704028961027,11.4825,49.765969044086546,0.1791113564789635,0.0,20,期間満了
ADP,2016-08-08,2016-08-30,71.5944721405655,71.65553447246644,3.9833,0.24322958666107297,0.0008528917118219349,0.0,16,シグナル
CVX,2016-08-03,2016-08-31,64.72930876792812,66.32260097913301,4.0735,6.490275822343165,0.02461469528304836,0.0,20,期間満了
CRM,2016-08-22,2016-09-02,76.22327811753459,74.64776006713866,3.8062,-5.9967368034169795,-0.02066977555027893,0.0,9,シグナル
AWK,2016-08-11,2016-09-09,64.09886299195645,61.48108964787489,4.4585,-11.671342454587602,-0.040839622138228074,0.0,20,期間満了
FRT,2016-08-25,2016-09-12,107.63806913100255,105.15429859727666,2.708,-6.726050605329704,-0.023075205211113333,0.0,11,シグナル
ATO,2016-08-30,2016-09-12,58.959384633928444,56.58655715100321,4.9001,-11.627091949081944,-0.04024511954556223,0.0,8,シグナル
EQT,2016-08-17,2016-09-14,34.33366691135744,35.49523045665174,8.2989,9.639699706042848,0.033831619217755536,0.0,19,シグナル
TPR,2016-09-02,2016-09-14,29.239210436012435,26.878553542250536,9.8591,-23.273952381287927,-0.08073599999999992,0.0,7,損切り
NEM,2016-08-26,2016-09-26,31.87368671552632,30.874231359890942,8.8139,-8.809099559034621,-0.03135675406976121,0.0,20,期間満了
